t,B,N
30.722287,0.454838,0.087523
30.722287,0.454838,0.086251
30.722287,0.454838,0.085192
30.875367,0.454697,0.087523
30.875367,0.454697,0.086251
30.875367,0.454697,0.085192
31.028446,0.454697,0.087523
31.028446,0.454697,0.086251
31.028446,0.454697,0.085192
31.181525,0.454556,0.087523
31.181525,0.454556,0.086251
31.181525,0.454556,0.085192
31.334604,0.454344,0.087523
31.334604,0.454344,0.086251
31.334604,0.454344,0.085192
31.487683,0.454273,0.087523
31.487683,0.454273,0.086251
31.487683,0.454273,0.085192
31.640762,0.454273,0.087523
31.640762,0.454273,0.086251
31.640762,0.454273,0.085192
31.793842,0.454061,0.087523
31.793842,0.454061,0.086251
31.793842,0.454061,0.085192
31.946921,0.453920,0.087523
31.946921,0.453920,0.086251
31.946921,0.453920,0.085192
32.100000,0.453850,0.087523
32.100000,0.453850,0.086251
32.100000,0.453850,0.085192
32.253079,0.453850,0.087523
32.253079,0.453850,0.086251
32.253079,0.453850,0.085192
32.406158,0.453708,0.087523
32.406158,0.453708,0.086251
32.406158,0.453708,0.085192
32.559238,0.453496,0.087523
32.559238,0.453496,0.086251
32.559238,0.453496,0.085192
32.712317,0.453426,0.087523
32.712317,0.453426,0.086251
32.712317,0.453426,0.085192
32.865396,0.453426,0.087523
32.865396,0.453426,0.086251
32.865396,0.453426,0.085192
33.018475,0.453426,0.087523
33.018475,0.453426,0.086251
33.018475,0.453426,0.085192
33.171554,0.453214,0.087523
33.171554,0.453214,0.086251
33.171554,0.453214,0.085121
33.324633,0.453073,0.087523
33.324633,0.453073,0.086251
33.324633,0.453073,0.084980
33.477713,0.453002,0.087523
33.477713,0.453002,0.086251
33.477713,0.453002,0.084980
33.630792,0.453002,0.087523
33.630792,0.453002,0.086251
33.630792,0.453002,0.084980
33.783871,0.453002,0.087523
33.783871,0.453002,0.086251
33.783871,0.453002,0.084980
33.936950,0.452932,0.087523
33.936950,0.452932,0.086251
33.936950,0.452932,0.084980
34.090029,0.452790,0.087523
34.090029,0.452790,0.086251
34.090029,0.452790,0.084980
34.243109,0.452578,0.087240
34.243109,0.452578,0.085969
34.243109,0.452578,0.084839
34.396188,0.452578,0.087099
34.396188,0.452578,0.085828
34.396188,0.452578,0.084768
34.549267,0.452578,0.087099
34.549267,0.452578,0.085828
34.549267,0.452578,0.084768
34.702346,0.452578,0.087099
34.702346,0.452578,0.085828
34.702346,0.452578,0.084768
34.855425,0.452508,0.087099
34.855425,0.452508,0.085828
34.855425,0.452508,0.084768
35.008504,0.452367,0.087099
35.008504,0.452367,0.085828
35.008504,0.452367,0.084768
35.161584,0.452225,0.087099
35.161584,0.452225,0.085828
35.161584,0.452225,0.084768
35.314663,0.452155,0.087099
35.314663,0.452155,0.085828
35.314663,0.452155,0.084768
35.467742,0.452155,0.087099
35.467742,0.452155,0.085828
35.467742,0.452155,0.084768
35.620821,0.452155,0.087099
35.620821,0.452155,0.085828
35.620821,0.452155,0.084768
35.773900,0.452155,0.087099
35.773900,0.452155,0.085828
35.773900,0.452155,0.084768
35.926979,0.452155,0.087099
35.926979,0.452155,0.085828
35.926979,0.452155,0.084768
36.080059,0.451943,0.087099
36.080059,0.451943,0.085828
36.080059,0.451943,0.084768
36.233138,0.451943,0.087099
36.233138,0.451943,0.085828
36.233138,0.451943,0.084768
36.386217,0.451731,0.087099
36.386217,0.451731,0.085828
36.386217,0.451731,0.084768
36.539296,0.451731,0.087099
36.539296,0.451731,0.085828
36.539296,0.451731,0.084768
36.692375,0.451731,0.087099
36.692375,0.451731,0.085828
36.692375,0.451731,0.084768
36.845455,0.451731,0.087099
36.845455,0.451731,0.085828
36.845455,0.451731,0.084768
36.998534,0.451731,0.087099
36.998534,0.451731,0.085828
36.998534,0.451731,0.084768
37.151613,0.451731,0.087099
37.151613,0.451731,0.085828
37.151613,0.451731,0.084768
37.304692,0.451731,0.087099
37.304692,0.451731,0.085828
37.304692,0.451731,0.084768
37.457771,0.451590,0.087099
37.457771,0.451590,0.085828
37.457771,0.451590,0.084768
37.610850,0.451519,0.087099
37.610850,0.451519,0.085828
37.610850,0.451519,0.084768
37.763930,0.451448,0.087099
37.763930,0.451448,0.085828
37.763930,0.451448,0.084768
37.917009,0.451307,0.087099
37.917009,0.451307,0.085828
37.917009,0.451307,0.084768
38.070088,0.451307,0.087099
38.070088,0.451307,0.085828
38.070088,0.451307,0.084768
38.223167,0.451307,0.087099
38.223167,0.451307,0.085828
38.223167,0.451307,0.084768
38.376246,0.451307,0.087099
38.376246,0.451307,0.085828
38.376246,0.451307,0.084768
38.529326,0.451307,0.087099
38.529326,0.451307,0.085828
38.529326,0.451307,0.084768
38.682405,0.451307,0.087099
38.682405,0.451307,0.085828
38.682405,0.451307,0.084627
38.835484,0.451307,0.087099
38.835484,0.451307,0.085828
38.835484,0.451307,0.084556
38.988563,0.451307,0.087099
38.988563,0.451307,0.085828
38.988563,0.451307,0.084556
39.141642,0.451307,0.087099
39.141642,0.451307,0.085828
39.141642,0.451307,0.084556
39.294721,0.451307,0.087099
39.294721,0.451307,0.085828
39.294721,0.451307,0.084556
39.447801,0.451166,0.087099
39.447801,0.451166,0.085828
39.447801,0.451166,0.084556
39.600880,0.451095,0.087099
39.600880,0.451095,0.085828
39.600880,0.451095,0.084556
39.753959,0.451095,0.087099
39.753959,0.451095,0.085828
39.753959,0.451095,0.084556
39.907038,0.451095,0.087099
39.907038,0.451095,0.085828
39.907038,0.451095,0.084556
40.060117,0.451095,0.087099
40.060117,0.451095,0.085828
40.060117,0.451095,0.084556
40.213196,0.450883,0.087099
40.213196,0.450883,0.085828
40.213196,0.450883,0.084556
40.366276,0.450883,0.087099
40.366276,0.450883,0.085828
40.366276,0.450883,0.084556
40.519355,0.450883,0.087099
40.519355,0.450883,0.085828
40.519355,0.450883,0.084556
40.672434,0.450883,0.087099
40.672434,0.450883,0.085828
40.672434,0.450883,0.084556
40.825513,0.450883,0.086816
40.825513,0.450883,0.085545
40.825513,0.450883,0.084415
40.978592,0.450883,0.086675
40.978592,0.450883,0.085404
40.978592,0.450883,0.084345
41.131672,0.450883,0.086675
41.131672,0.450883,0.085404
41.131672,0.450883,0.084345
41.284751,0.450883,0.086675
41.284751,0.450883,0.085404
41.284751,0.450883,0.084345
41.437830,0.450883,0.086675
41.437830,0.450883,0.085404
41.437830,0.450883,0.084345
41.590909,0.450883,0.086675
41.590909,0.450883,0.085404
41.590909,0.450883,0.084345
41.743988,0.450883,0.086675
41.743988,0.450883,0.085404
41.743988,0.450883,0.084345
41.897067,0.450883,0.086675
41.897067,0.450883,0.085404
41.897067,0.450883,0.084345
42.050147,0.450883,0.086675
42.050147,0.450883,0.085404
42.050147,0.450883,0.084345
42.203226,0.450883,0.086675
42.203226,0.450883,0.085404
42.203226,0.450883,0.084345
42.356305,0.450883,0.086675
42.356305,0.450883,0.085404
42.356305,0.450883,0.084345
42.509384,0.450883,0.086675
42.509384,0.450883,0.085404
42.509384,0.450883,0.084345
42.662463,0.450883,0.086675
42.662463,0.450883,0.085404
42.662463,0.450883,0.084345
42.815543,0.450883,0.086675
42.815543,0.450883,0.085404
42.815543,0.450883,0.084345
42.968622,0.450883,0.086675
42.968622,0.450883,0.085404
42.968622,0.450883,0.084345
43.121701,0.450883,0.086675
43.121701,0.450883,0.085404
43.121701,0.450883,0.084345
43.274780,0.450883,0.086675
43.274780,0.450883,0.085404
43.274780,0.450883,0.084345
43.427859,0.450742,0.086675
43.427859,0.450742,0.085404
43.427859,0.450742,0.084345
43.580938,0.450672,0.086675
43.580938,0.450672,0.085404
43.580938,0.450672,0.084345
43.734018,0.450672,0.086675
43.734018,0.450672,0.085404
43.734018,0.450672,0.084345
43.887097,0.450672,0.086675
43.887097,0.450672,0.085404
43.887097,0.450672,0.084345
44.040176,0.450672,0.086675
44.040176,0.450672,0.085404
44.040176,0.450672,0.084345
44.193255,0.450672,0.086675
44.193255,0.450672,0.085404
44.193255,0.450672,0.084345
44.346334,0.450672,0.086675
44.346334,0.450672,0.085404
44.346334,0.450672,0.084345
44.499413,0.450672,0.086675
44.499413,0.450672,0.085404
44.499413,0.450672,0.084345
44.652493,0.450672,0.086675
44.652493,0.450672,0.085404
44.652493,0.450672,0.084345
44.805572,0.450672,0.086675
44.805572,0.450672,0.085404
44.805572,0.450672,0.084345
44.958651,0.450672,0.086675
44.958651,0.450672,0.085404
44.958651,0.450672,0.084345
45.111730,0.450672,0.086675
45.111730,0.450672,0.085404
45.111730,0.450672,0.084345
45.264809,0.450672,0.086675
45.264809,0.450672,0.085404
45.264809,0.450672,0.084345
45.417889,0.450672,0.086675
45.417889,0.450672,0.085404
45.417889,0.450672,0.084345
45.570968,0.450672,0.086675
45.570968,0.450672,0.085404
